Parent Category Name	Category Name 	Link	Employee Company	Title	Roles	Requirements	Additional Info	City/Province	District	Level	Type	Min Salary	Max Salary	Is Dealable	Address	Phone	Fax	Ad Added Date
Аялал жуулчлал, зочид буудал	Зохион байгуулалт	https://www.zangia.mn/job/_7wf466ih02	Шилдэг зам ХХК	Кемп менежер ажилд авна.	Кемпийн хэвийн үйл ажиллагааг хангуулан ажиллах, удидан зохион байгуулалт хййх, ажлын зохион байгуулалтыг удирдах тулгарч буй асуудлыг зөв оновчтой шийдвэрлэж, багийн ажиллагааг хангаж ажиллах	Кемп менежерээр ажиллаж байсан туршлагатай байх Холбогдох хууль тогтоомж, дүрэм журмыг сайтар судлаж, хэрэгжүүлдэг байх Хэрэглээниий программуудыг бүрэн эзэмшсэн байх Багаар ажиллах, удирдах, бусдад нөлөөлөх, идэвхижүүлэх чадвартай байх Хариуцлагатай, харилцааны зөв хандлагатай, шударга, зарчимч байх	Авто замын салбарт ажиллаж байсан бол давуу тал болно.	Өмнөговь аймаг		Дунд шатны удирдлага	Бүтэн цагийн	1,800,000	2,100,000		Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, 1 хороо union building c блок 10 давхар 1001 тоот	77001450, 77001450	None	2022-03-24 15:09
Аялал жуулчлал, зочид буудал	Зохион байгуулалт	https://www.zangia.mn/job/_vvvcsapdea	Таван Богд Групп	Сувенир дэлгүүрийн үйл ажиллагаа хариуцсан менежер	Сувинер дэлгүүрийн өдөр тутмын үйл ажиллагаа удирдан зохион байгуулах Дэлгүүрийн борлуулалтыг хянах, ашигт ажиллагааг дэмжих	Худалдаа, Бизнесийн удирдлага, Санхүү, Маркетингийн чиглэлээр мэргэжил эзэмшсэн Худалдаа, үйлчилгээний салбарт 3-аас дээш ажиллаж байсан туршлагатай Салбар нэгж, дэлгүүр хариуцаж байсан туршлагатай /Борлуулалтын чиглэлээр ажиллаж байсан туршлагатай бол давуу тал болно/ Англи хэлний дундаас дээш түвшний мэдлэгтэй	Ажлын байрны талаарх дэлгэрэнгүй мэдээллийг: Ажлын өдрүүдэд 09:00-17:00 цагийн хооронд 9909-4374, 9415-2233 утсаар авна уу	Улаанбаатар хот	 Сүхбаатар дүүрэг	Дунд шатны удирдлага	Бүтэн цагийн	1,500,000	1,800,000		Монгол улс, Улаанбаатар хот, Хан-Уул дүүрэг, 15-р хороо, Чингисийн өргөн чөлөө-6, Стадион Оргил-1, УБ17010, ХААН Банк цамхаг, /Энхтайваны гүүрний зүүн урд/	94152233	None	2022-03-22 15:59
Аялал жуулчлал, зочид буудал	Зохион байгуулалт	https://www.zangia.mn/job/_4h0lahsjqv	Үлэмж ХХК	Ээлжийн ахлах /Англи хэлтэй/	Үйлчилгээний цаг авах Үйлчилгээний төлбөр тооцоо авах тухайн ээлжийг зохион байгуулж ажиллах	Англи хэлний ярианы чадвартай Харилцааны өндөр соёлтой цаг сайн баримталдаг байх хариуцлагатай	1 өдөр ажиллаад 1 өдөр амарна Шангрила зочид буудлын в1 давхарт байрлалтай үндсэн цалин + бонус	Улаанбаатар хот	 Сүхбаатар дүүрэг	Мэргэжилтэн	Ээлжийн	1,200,000	1,500,000		Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, Шангри-Ла Молл худалдааны төв, 2 давхарт Grease MediSpa	88043080	None	2022-03-23 15:50
Аялал жуулчлал, зочид буудал	Зохион байгуулалт	https://www.zangia.mn/job/_0zvjf3q9dw	Блю Рок Сервис ХХК	Кемп менежер	Кемпийн хэвийн үйл ажиллагааг хангуулан ажилллах, удирдан зохион байгуулалт хийх, байрлагчид болон өөрийн компанийн ажиллагчдын ээлж, ажлын зохион байгуулалтыг удирдах тулгарч буй асуудлыг зөв оновчтой шийдвэрлэх үүднээс багийн ажиллагааг хангаж ажилллах, шууд удирдлагатай нягт уялдаатай ажиллах Кемпийн өдөр тутмын үйл ажиллагааг удирдлагаар хангаж ажиллах /дэд бүтэц ашиглалтыг хариуцах/ цахилгаан, дулаан, ус цэвэрлэх байгууламж/	Кемп менежерээр ажиллаж байсан туршлагатай байх Холбогдох хууль тогтоомж, дүрэм журамыг сайтар судлаж, хэрэгжүүлдэг байх Багаар ажиллах, удирдах, бусдад нөлөөлөх, идэвхжүүлэх чадвартай байх Хэрэглээний программуудыг эзэмшсэн байх Хариуцлагатай, харилцааны зөв хандлагатай, шудрага ажиллах, зарчимч байх	Ростероор ажиллах боломжтой байх	Өмнөговь аймаг		Дунд шатны удирдлага	Ээлжийн	2,100,000	2,500,000		Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, 1-р хороо, Соёл амралтын хүрээлэн, П.Гэндэнгийн гудамж-16, Цэнтрал оффис 4 давхарт	88889233	None	2022-03-17 10:01
Аялал жуулчлал, зочид буудал	Зохион байгуулалт	https://www.zangia.mn/job/_t7f5c0xc1v	Үлэмж ХХК	Ээлжийн ахлах /Англи хэлтэй/	Үйлчилгээний цаг авах Үйлчилгээний төлбөр тооцоо авах тухайн ээлжийг зохион байгуулж ажиллах	Англи хэлний ярианы чадвартай Харилцааны өндөр соёлтой цаг сайн баримталдаг байх хариуцлагатай	ажлын цаг 09.00 - 22.00 1 өдөр ажиллаад 1 өдөр амарна Шангрила зочид буудлын в1 давхарт байрлалтай үндсэн цалин + бонус	Улаанбаатар хот	 Сүхбаатар дүүрэг	Мэргэжилтэн	Ээлжийн	1,200,000	1,500,000		Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, Шангри-Ла Молл худалдааны төв, 2 давхарт Grease MediSpa	88043080	None	2022-03-09 16:15
Аялал жуулчлал, зочид буудал	Зохион байгуулалт	https://www.zangia.mn/job/_89tfr_m2za	Гүнд инвестмент холдинг групп	Жуулчны баазын зохион байгуулагч	Жуулчны баазын өдөр тутмын ажлыг зохион байгуулах Жуулчны баазын өдөр тутмын ажлын тайлан боловсруулах Жуулчны баазын ажилтнуудын ажил, үүргийг уялдуулах Жуулчны баазын хэрэглэгчидтэй харилцах, санал гомдлыг бүртгэх Жуулчны баазад шаардлагатай үйлчилгээний шийдлүүдийг боловсруулах	Их, дээд сургууль төгссөн байх Голч дүн 3-аас багагүй байх Англи хэлний ахисан дундаас дээш түвшиний мэдлэгтэй байх Жуулчны баазад зохион байгуулагч хийж байсан туршлагатай бол давуу тал болно Эерэг хандлагатай Тууштай	"Гүнд Инвестмент" ХХК-ийн охин компани болох "О энд Партнерс" ХХК-д Жуулчны баазын зохион байгуулагч ажилд авна.	Улаанбаатар хот	 Баянгол дүүрэг	Мэргэжилтэн	Бүтэн цагийн	1,500,000	1,800,000		Монгол улс, Улаанбаатар хот, Баянгол дүүрэг, Амарсанаагийн гудамж, Колорадо бизнес төв, 307 тоот. /Max mall худалдааны төвийн хойд талд байрлах Колорадо бизнес төв/	70004628	None	2022-03-14 12:11
Захиргаа, Хүний нөөц	Цэвэрлэгээ	https://www.zangia.mn/job/_qjo_jseqh1	Нисора ХХК	Үйлчлэгч	Оффисийн цэвэрлэгээ үйлчилгээ хийнэ	Үнэнч шударга Хөдөлмөрч, цаг баримталдаг	Сансарт ойр гэртэй бол зүгээр	Улаанбаатар хот	 Баянзүрх дүүрэг	Мэргэжил хамаарахгүй	Бүтэн цагийн	800,000	1,000,000		Монгол улс, Улаанбаатар хот, Баянзүрх дүүрэг, Улаанбаатар хот, Баянзүрх дүүрэг, 1-р хороо, Токиогийн гудамж	99118904	None	2022-03-10 16:07
Захиргаа, Хүний нөөц	Цэвэрлэгээ	https://www.zangia.mn/job/_0xbc870vwu	Аж Богд Моунтэйн ХХК	Оффисын үйлчлэгч	Оффисын өдөр дутмын цэвэрлэгээ, үйлчилгээ, төлөвлөгөөт бусад цэвэрлэгээ үйлчилгээ хийх	35-45 нас, эмэгтэй Хурдан шаламгай Хийж буй ажилдаа чин сэтгэлээсээ ханддаг Нямбай, эмх цэгц сайтай, хариуцлагатай байх Хувийн зохион байгуулалт сайтай байх Багаар ажиллах чадвартай Цаг ашиглалт сайтай байх Ачаалал даах чадвартай	Гэр ХУД байвал давуу тал болно. Өмнө нь оффисын үйлчлэгч хийж байсан туршлагатай бол давуу тал болно	Улаанбаатар хот	 Хан-Уул дүүрэг	Мэргэжил хамаарахгүй	Бүтэн цагийн	600,000	800,000	Тохиролцоно	Монгол улс, Улаанбаатар хот, Хан-Уул дүүрэг, Шинэ Өргөө хороолол оффисын байр	86118855, 86119955	None	2022-03-11 10:55
Захиргаа, Хүний нөөц	Цэвэрлэгээ	https://www.zangia.mn/job/_lt5jfgf8re	Загал Хуур	Гэрийн үйчлэгч ажилд урьж байна.	Тогтвор суурьшилтай ажиллах, цэвэрч нямбай хүнийг үйлчлэгчийн ажилд урьж байна.	Мөн давхар хүүхэд асрагчийн ажилд туслана хүүхдэд хайртай байвал давуу тал болно		Улаанбаатар хот		Мэргэжил хамаарахгүй	Бүтэн цагийн	600,000	800,000		Монгол улс, Улаанбаатар хот, Сүхбаатар дүүрэг, UB mart shopping center	88117983, 99097476	None	2022-03-05 18:27
Захиргаа, Хүний нөөц	Цэвэрлэгээ	https://www.zangia.mn/job/_u2-q2l2fmt	Макс Групп	ҮЙЛЧИЛГЭЭНИЙ АЖИЛТАН	220К Велнэс центр болон 2 блок ресидэнс орон сууцны цэвэрлэгээний ажлуудыг менежерийн хуваарилсан ажлын байрны нийт талбайд цэвэрлэгээ үйлчилгээг үзүүлэх, Харилцагч үйлчлүүлэгчдийн сэтгэл ханамжийг өндөрт тавьж, гомдолгүй эрүүл ахуйн шаардлагад нийцсэн цэвэрлэгээ үйлчилгээг үзүүлэх	Бүрэн болон бүрэн бус дунд боловсролтой /Мэргэжил харгалзахгүй/ Харилцаа хандлага зөв, ёс зүйтэй, цэвэрч нямбай	Тогтвор суурьшилтай тууштай ажиллах ажил горилогч анкетаа ирүүлэх, 89078855 утсаар холбогдож, ирж анкет бөглөж болно. Ур чадварын үнэлгээнд тохирсон цалингийн шатлалтай өсөлт	Улаанбаатар хот		Мэргэжил хамаарахгүй	Бүтэн цагийн	800,000	1,000,000		Монгол улс, Улаанбаатар хот, Чингэлтэй дүүрэг, Барилгачдын талбайн зүүн талд MAX TOWER, 13-р давхар 1300 тоот	77773636-600, 89078855	None	2022-03-01 11:05
