,employee,jobTitle,level,minSalary,maxSalary,isDealable,city,district,branch
0,Нандинбродерс групп ХХК,Гадаад харилцааны менежер,Мэргэжилтэн,1200000.0,1500000.0,False,Улаанбаатар хот,Баянзүрх дүүрэг,"PR, олон нийтийн харилцаа"
1,Оспринг Монгол ХХК,Харилцааны менежер,Мэргэжилтэн,800000.0,1000000.0,True,Улаанбаатар хот,Хан-Уул дүүрэг,"PR, олон нийтийн харилцаа"
2,Лэйдэр вэйт ХХК,Олон нийттэй харилцах менежер,Мэргэжил хамаарахгүй,1200000.0,1500000.0,True,Улаанбаатар хот,Баянгол дүүрэг,"PR, олон нийтийн харилцаа"
3,Батбайгаль бэйкэри ХХК,Бүс хариуцсан маркетингийн менежер,Мэргэжилтэн,1000000.0,1200000.0,False,Улаанбаатар хот,Баянзүрх дүүрэг,"PR, олон нийтийн харилцаа"
4,Бодь Интернэшнл ХХК,"ЭВЛҮҮЛЭГЧ, ЗУРАГЛААЧ",Мэргэжилтэн,1800000.0,2100000.0,False,Улаанбаатар хот,,"PR, олон нийтийн харилцаа"
5,Тэнгэрийн Хишиг,График дизайнер ажилд авна,Дунд шатны удирдлага,1500000.0,1800000.0,False,Улаанбаатар хот,Баянгол дүүрэг,"PR, олон нийтийн харилцаа"
6,Стандартформ ххк,Маркетингийн менежер ажилд авна,Мэргэжилтэн,800000.0,1000000.0,False,Улаанбаатар хот,Баянзүрх дүүрэг,"PR, олон нийтийн харилцаа"
7,Гурван бухат ХХК,PR менежер,Мэргэжилтэн,1500000.0,1800000.0,False,Улаанбаатар хот,Сүхбаатар дүүрэг,"PR, олон нийтийн харилцаа"
8,Таван Богд Групп,PR менежер,Мэргэжилтэн,1800000.0,2100000.0,False,Улаанбаатар хот,Хан-Уул дүүрэг,"PR, олон нийтийн харилцаа"
9,Гурван бухат ХХК,Олон нийттэй харилцах мэргэжилтэн,Мэргэжилтэн,1200000.0,1500000.0,True,Улаанбаатар хот,Сүхбаатар дүүрэг,"PR, олон нийтийн харилцаа"
10,“ХИТ” ХХК,Олон нийттэй харилцах ажилтан,Мэргэжилтэн,1500000.0,1800000.0,False,None,,"PR, олон нийтийн харилцаа"
11,Жем Интернэшнл ХХК,Олон нийт хариуцсан мэргэжилтэн,Мэргэжилтэн,1200000.0,1500000.0,False,Улаанбаатар хот,Хан-Уул дүүрэг,"PR, олон нийтийн харилцаа"
12,Монполимет Групп,ОЛОН НИЙТТЭЙ ХАРИЛЦАХ МЕНЕЖЕР,Дунд шатны удирдлага,1500000.0,1800000.0,False,Улаанбаатар хот,Сүхбаатар дүүрэг,"PR, олон нийтийн харилцаа"
13,Хүннү мебель ХХК,Борлуулалтын менежер /эмэгтэй/,Дунд шатны удирдлага,1200000.0,1500000.0,False,Улаанбаатар хот,Баянгол дүүрэг,"PR, олон нийтийн харилцаа"
14,Лавай Трейд ХХК,Худалдааны төлөөлөгч,Мэргэжил хамаарахгүй,1500000.0,1800000.0,False,Улаанбаатар хот,Хан-Уул дүүрэг,"PR, олон нийтийн харилцаа"
15,Лавай Трейд ХХК,Худалдааны төлөөлөгч,Мэргэжил хамаарахгүй,1500000.0,1800000.0,False,Улаанбаатар хот,Хан-Уул дүүрэг,"PR, олон нийтийн харилцаа"
16,Нутгийн буян групп ХХК,ЭХ БЭЛТГЭГЧ /Дизайнер/,Мэргэжилтэн,1800000.0,2100000.0,False,Улаанбаатар хот,Хан-Уул дүүрэг,"PR, олон нийтийн харилцаа"
17,Грандмед эмнэлэг,"ХӨТӨЧ, БҮРТГЭЛ МЭДЭЭЛЛИЙН АЖИЛТАН",Мэргэжилтэн,800000.0,1000000.0,False,Улаанбаатар хот,,"PR, олон нийтийн харилцаа"
18,Дрийм интерпрайз,Маркетингийн  менежер,Дунд шатны удирдлага,1500000.0,1800000.0,False,Улаанбаатар хот,Хан-Уул дүүрэг,"PR, олон нийтийн харилцаа"
19,Вертексмон ХХК,Контент менежер,Дунд шатны удирдлага,1500000.0,1800000.0,False,Улаанбаатар хот,Хан-Уул дүүрэг,"PR, олон нийтийн харилцаа"
20,Симатай Промошн ХХК,БАЙГУУЛЛАГА ХАРИУЦСАН ЗАХИАЛГЫН МЕНЕЖЕР,Дунд шатны удирдлага,1000000.0,1200000.0,False,Улаанбаатар хот,Баянзүрх дүүрэг,"PR, олон нийтийн харилцаа"
21,Лавай Трейд ХХК,Худалдааны төлөөлөгч,Мэргэжил хамаарахгүй,1500000.0,1800000.0,False,Улаанбаатар хот,Хан-Уул дүүрэг,"PR, олон нийтийн харилцаа"
22,Лавай Трейд ХХК,Худалдааны төлөөлөгч,Мэргэжил хамаарахгүй,1500000.0,1800000.0,False,Улаанбаатар хот,Хан-Уул дүүрэг,"PR, олон нийтийн харилцаа"
23,Оспринг Монгол ХХК,Харилцагчийн менежер,Мэргэжилтэн,800000.0,1000000.0,True,Улаанбаатар хот,Сүхбаатар дүүрэг,"PR, олон нийтийн харилцаа"
24,Эн Өү Ти Эс ХХК,Утасны оператор,Мэргэжилтэн,1200000.0,1500000.0,False,Улаанбаатар хот,Баянгол дүүрэг,"PR, олон нийтийн харилцаа"
